epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,11595.7,0.80668,0.69684,1.0641,0.94021,0.90721,0.96904,0.81449,0.61189,0.44642,0.92929,0.0003764,0.0003764,0.0003764
84,11742.8,0.81323,0.67958,1.06196,0.93531,0.91827,0.96964,0.84709,0.51344,0.4267,0.8968,0.0003566,0.0003566,0.0003566
85,11881.5,0.75333,0.65212,1.03247,0.98591,0.89423,0.97386,0.84458,0.52877,0.40399,0.89709,0.0003368,0.0003368,0.0003368
86,12019,0.75156,0.63407,1.01252,0.93947,0.93269,0.97094,0.8383,0.5182,0.39558,0.89282,0.000317,0.000317,0.000317
87,12164.9,0.76583,0.63469,1.02724,0.96905,0.90325,0.97229,0.85276,0.46369,0.40037,0.8789,0.0002972,0.0002972,0.0002972
88,12309.7,0.7864,0.64821,1.05468,0.9644,0.91167,0.97446,0.83763,0.55287,0.40431,0.89781,0.0002774,0.0002774,0.0002774
89,12458.1,0.81696,0.67328,1.06222,0.94162,0.93056,0.9765,0.83811,0.55836,0.40256,0.9015,0.0002576,0.0002576,0.0002576
90,12604.9,0.75295,0.6535,1.04394,0.94028,0.9375,0.98165,0.86025,0.50534,0.37646,0.88981,0.0002378,0.0002378,0.0002378
91,12747.5,0.71976,0.59848,1.02447,0.97716,0.91827,0.98346,0.82568,0.59467,0.39693,0.91242,0.000218,0.000218,0.000218
92,12892.1,0.68676,0.55371,0.99312,0.97495,0.93561,0.98187,0.81401,0.63161,0.4128,0.9284,0.0001982,0.0001982,0.0001982
93,13035.9,0.6924,0.56237,1.00763,0.95484,0.95192,0.98122,0.85444,0.50304,0.39631,0.88939,0.0001784,0.0001784,0.0001784
94,13178.7,0.67102,0.54859,0.99147,0.95237,0.96126,0.98215,0.86111,0.48332,0.38811,0.88221,0.0001586,0.0001586,0.0001586
95,13322.3,0.65112,0.50899,0.97552,0.96358,0.9375,0.98345,0.84219,0.54145,0.39144,0.89641,0.0001388,0.0001388,0.0001388
96,13471.8,0.69014,0.54269,1.00173,0.97051,0.94922,0.98484,0.84469,0.55095,0.38885,0.89758,0.000119,0.000119,0.000119
97,13617.2,0.68875,0.51225,0.98731,0.96125,0.9541,0.98493,0.85243,0.50912,0.37783,0.88528,9.92e-05,9.92e-05,9.92e-05
98,13760.1,0.65606,0.52008,0.99333,0.95968,0.95192,0.98457,0.87164,0.47076,0.36464,0.87368,7.94e-05,7.94e-05,7.94e-05
99,13905.5,0.65733,0.51181,0.99538,0.95656,0.9528,0.98398,0.87575,0.47334,0.36513,0.8751,5.96e-05,5.96e-05,5.96e-05
100,14049.2,0.64696,0.50045,0.97728,0.95061,0.95673,0.98352,0.86978,0.47711,0.36634,0.87581,3.98e-05,3.98e-05,3.98e-05
